CODGEO;LIBGEO;SNHM15;SNHMC15;SNHMP15;SNHME15;SNHMO15;F15;SNHMFC15;SNHMFP15;SNHMFE15;SNHMFO15;H15;SNHMHC15;SNHMHP15;SNHMHE15;SNHMHO15;SNHM1815;SNHM2615;SNHM5015;SNHMF1815;SNHMF2615;SNHMF5015;SNHMH1815;SNHMH2615;SNHMH5015;HmoinsF15C;HmoinsF15P;HmoinsF15E;HmoinsF15O
1;Guadeloupe;13.8;26.5;15.7;11.2;11;13;23.3;14.9;11;9.3;14.6;28.7;16.6;11.6;11.2;9;13.3;16.3;9;12.7;14.8;9;13.9;17.6;5.4;1.7;0.6;1.9
2;Martinique;13.7;26.4;15.4;11;11.1;12.8;23;14.5;10.9;9.4;14.4;28.9;16.4;11.2;11.4;9.1;13.2;15.7;9.1;12.6;14.2;9.1;13.7;17;5.9;1.9;0.3;2
3;Guyane;14.5;27.9;16.8;11.1;10.9;13.5;23.9;15.4;11.1;9.1;15.1;30.1;17.7;11.1;11.1;9.5;14;18.3;9.6;13.4;16.2;9.5;14.4;19.3;6.2;2.3;0;2
4;La Reunion;12.8;25.4;14.8;10.5;10.7;12.2;22.2;14.1;10.4;8.9;13.2;27.2;15.3;10.6;10.8;8.8;12.7;15.8;8.7;12.3;14.3;8.8;13;16.5;5;1.2;0.2;1.9
11;ile-de-France;18.4;29.4;16;11.7;12.1;16.4;25.3;15.1;11.7;10.8;19.9;32;16.9;11.9;12.4;10.5;18;22.7;10.2;16.6;18.7;10.8;19;25.5;6.7;1.8;0.2;1.6
24;Centre-Val de Loire;13.4;24;14.5;10.5;11.1;12;20.6;13.4;10.3;10.1;14.4;25.5;15.3;11.1;11.3;9.6;13.3;15.5;9.3;12;13.2;9.9;14.1;17.1;4.9;1.9;0.8;1.2
27;Bourgogne-Franche-Comte;12.9;23.4;14.2;10.3;11;11.5;19.9;12.9;10.1;9.8;13.9;24.9;15;11;11.3;9.5;12.8;14.8;9.1;11.5;12.5;9.7;13.6;16.3;5;2.1;0.9;1.5
28;Normandie;13.3;24.1;14.7;10.4;11.3;11.8;20.7;13.3;10.2;10;14.3;25.7;15.7;11;11.6;9.6;13.2;15.5;9.1;11.8;13;9.9;14;17.1;5;2.4;0.8;1.6
32;Hauts-de-France;13.4;23.9;14.4;10.5;11.1;11.9;20.6;13.1;10.2;9.7;14.3;25.4;15.3;11;11.4;9.6;13.3;15.6;9.2;12;13.1;9.8;14;17.1;4.8;2.2;0.8;1.7
44;Grand Est;13.3;23.9;14.5;10.4;11.2;11.7;20.4;13.1;10.1;9.8;14.4;25.4;15.4;11;11.5;9.5;13.1;15.4;9.1;11.8;12.8;9.8;14;17.2;5;2.3;0.9;1.7
52;Pays de la Loire;13.1;23.3;13.9;10.4;10.9;11.6;19.9;12.9;10.1;9.7;14.1;24.7;14.6;11;11.2;9.4;13;15.1;9.1;11.7;12.6;9.7;13.9;16.8;4.8;1.7;0.9;1.5
53;Bretagne;12.9;23.1;14;10.3;10.7;11.5;19.7;12.9;10;9.7;13.9;24.5;14.8;10.9;10.9;9.4;12.8;14.9;9.1;11.6;12.6;9.7;13.6;16.6;4.8;1.9;0.9;1.2
75;Nouvelle-Aquitaine;13.1;23.7;14.2;10.3;10.8;11.8;20.3;13.1;10.1;9.6;14;25.3;15;10.8;11;9.4;12.9;15.2;9;11.7;13;9.6;13.7;16.9;5;1.9;0.7;1.4
76;Occitanie;13.6;23.7;14.2;10.3;10.8;12;20.3;13.1;10;9.5;14.7;25.2;15.1;10.7;11;9.4;13.3;16;9;12;13.2;9.7;14.3;18;4.9;2;0.7;1.5
84;Auvergne-Rhone-Alpes;14.1;24.6;14.6;10.7;11.3;12.4;21.1;13.3;10.4;9.8;15.3;26.2;15.5;11.3;11.6;9.7;14;16.5;9.3;12.5;13.6;10;15;18.6;5.1;2.2;0.9;1.8
93;Provence-Alpes-Cote d'Azur;14;24.7;14.6;10.5;11.2;12.3;21.1;13.5;10.3;9.5;15.2;26.4;15.6;11;11.5;9.6;13.8;16.5;9.2;12.4;13.7;9.9;14.7;18.6;5.3;2.1;0.7;2
94;Corse;12.6;22.5;15.1;10.2;10.8;11.5;19.5;13.5;10;9.2;13.5;24.1;16.4;10.7;11;9.5;12.3;14.9;9.1;11.3;13;9.8;13;16.2;4.6;2.9;0.7;1.8
1;France metropolitaine;14.6;26.1;14.7;10.7;11.2;13;22.7;13.6;10.5;9.9;15.7;27.9;15.6;11.2;11.5;9.7;14.4;17.3;9.4;13.1;14.4;10;15.3;19.3;5.2;2;0.7;1.6
76;Seine-Maritime;13.9;24.7;15.1;10.5;11.8;12.1;20.9;13.6;10.3;10;15;26.4;16.1;11.2;12.1;9.8;13.7;16.3;9.3;12.2;13.4;10.2;14.6;18;5.5;2.5;0.9;2.1
755;Rouen;14;24.5;14.5;10.6;11.3;12.5;21.2;13.5;10.4;9.8;14.9;26.1;15.2;11;11.6;9.7;13.7;16.6;9.4;12.6;14;9.9;14.5;18.4;4.9;1.7;0.6;1.8
